Alias;2004;Acclaim Cheltenham;Acclaim Entertainment;Adventure
Alice VR;2016;Carbon Studio;Klabater;Indie
Alice: An Interactive Museum;1994;Toshiba-EMI Ltd;Synergy Interactive Crop.;Point-and-click Adventure Visual Novel
Alien Shooter: Vengeance;2007;Sigma Team;Sigma Team;Arcade
Alien Stars;2005;Awem;Awem;Role-playing (RPG) Strategy
Alien Swarm;2010;Valve;Valve;Shooter Adventure
Aliens versus Predator;1999;Rebellion Developments;Sierra Entertainment Fox Interactive;Shooter
Aliens versus Predator 2;2001;Third Law Entertainment;Sierra Entertainment;Shooter
Aliens versus Predator Classic 2000;2010;Rebellion Developments;Rebellion Developments;Shooter
Aliens vs. Predator;2010;Rebellion Developments;Sega;Shooter
Aliens: Colonial Marines;2010;Gearbox Software;Sega;Shooter
Allegiance;2000;Microsoft Research;Microsoft;Adventure
Alliance of Valiant Arms;2007;Red Duck;Neowiz NHN USA;Shooter
Allied General;1995;Strategic Simulations;Strategic Simulations;Strategy
Alone in the Dark;2008;Eden Games;Atari;Adventure Indie
Alone in the Dark: The New Nightmare;2001;Darkworks;Infogrames;Puzzle Adventure
Alpha Prime;2007;Black Element Software;Idea Games Meridian4;Shooter
Alpha Protocol;2009;Obsidian Entertainment;Sega;Shooter Role-playing (RPG)
Alvin and the Chipmunks;2007;Sensory Sweep Studios;Brash Entertainment;Music Adventure
Amazon Trail 3rd Edition;1998;MECC;The Learning Company;Simulator Adventure
Amber: Journeys Beyond;1996;Hue Forest Entertainment;Hue Forest Entertainment;Point-and-click Adventure
American Conquest;2003;GSC Game World;CDV;Real Time Strategy (RTS) Strategy
American Idol;2003;Hothouse Creations;Codemasters;Music
American McGees Alice;2000;Rogue Entertainment;Electronic Arts;"Platform ""Hack and slash/Beat em up"" Adventure"
American McGees Grimm;2008;Spicy Horse;Turner Broadcasting System;Indie
Amerzone;1999;Microids;Casterman;Adventure
Amnesia: A Machine for Pigs;2013;The Chinese Room;Frictional Games;Puzzle Adventure Indie
Amnesia: The Dark Descent;2010;Frictional Games;Frictional Games;Puzzle Adventure Indie
Amok;1996;Lemon;Scavenger Koei Tec Toy;Shooter Puzzle
Anachronox;2001;Ion Storm;Eidos Interactive Infogrames;Role-playing (RPG)
