Mega Man Legends;1997;Capcom Production Studio 2;Capcom Entertainment, Inc.;Role-playing (RPG)
Escape from Monkey Island;2000;LucasArts;LucasArts;Point-and-click Puzzle Adventure
Cricket 07;2006;HB Studios;EA Sports;Sport
Broken Sword: Shadow of the Templars – The Directors Cut;2010;Revolution Software;Kalypso Media;Point-and-click Puzzle Adventure
Flying Corps;1996;Rowan Software;Empire Interactive;Strategy Indie
Two Thrones;2004;Paradox Entertainment;Strategy First;Platform Puzzle Adventure
Azada;2007;Big Fish Studios;Big Fish Games;Adventure
Imagine: Fashion Designer;2007;Ubisoft;Ubisoft;Simulator
Tread Marks;2000;Longbow Digital Arts;Longbow Digital Arts;Racing
Warhammer 40,000: Dawn of War – Dark Crusade;2006;Relic Entertainment;THQ;Real Time Strategy (RTS) Strategy
