Escape from Monkey Island;2000;LucasArts;LucasArts;Point-and-click Puzzle Adventure
A2 Racer;1997;Davilex Games;Davilex Games;Racing
Cars;2006;Rainbow Studios, Pacific Coast Power & Light, Capybara Games;THQ;Racing Arcade
Shadowgrounds Survivor;2007;Frozenbyte;Frozenbyte;Shooter Arcade
Shadow of Memories;2001;Konami;Konami;Puzzle Adventure
Nicktoons Winners Cup Racing;2006;Pronto Games;ValuSoft;Racing
Destroy All Humans;2020;Black Forest Games;THQ Nordic;Shooter Adventure
Narc;2008;VIS Entertainment;Zoo Digital, zushi games ltd.;Shooter Arcade
FIFA Manager 10;2009;Bright Future;Electronic Arts;Simulator Sport
Nightmist;2001;Nightmist Online Development;;Role-playing (RPG)
Kill Switch;2003;Namco;Namco;Shooter
The Chronicles of Spellborn;2008;Spellborn International;Frogster Interactive;Role-playing (RPG)
FIFA Manager 07;2006;Bright Future;Electronic Arts;Sport
Call of Duty 2;2005;Infinity Ward;Activision;Shooter
Football Manager 2007;2006;Sports Interactive;Sega;Simulator Sport Strategy
